ksource,keywords,knum,nsource,nnum,title,url
NAVER,프레시지 삼시세끼,0,NAVER,27,"캐시슬라이드, 12일 ‘프레시지 삼시세끼’ 관련 초성퀴즈 이벤트 실시",http://sports.hankooki.com/lpage/life/201910/sp20191012100009136850.htm
NAVER,프레시지 삼시세끼,0,NAVER,28,"캐시슬라이드, '프레시지 삼시세끼' 초성퀴즈 맞히면 100캐시 지급",http://newsbrite.net/127964
NAVER,프레시지 삼시세끼,0,NAVER,29,"프레시지, “삼시세끼 산촌편 밀키트를 천원에” 12일 타임특가 실시",http://www.etnews.com/20191011000272
NAVER,프레시지 삼시세끼,0,DAUM,0,"프레시지, ‘삼시세끼 산촌편’ 밀키트를 천원에 12일 타임 특가 실시",https://cp.news.search.daum.net/p/85091196
NAVER,프레시지 삼시세끼,0,DAUM,1,"프레시지, 12일 '삼시세끼 신촌편 밀키트' 천원 특가 이벤트 진행",http://v.media.daum.net/v/20191012112704715?f=o
NAVER,프레시지 삼시세끼,0,DAUM,2,"프레시지 삼시세끼, 초성퀴즈 정답은? '명란파스타'",https://cp.news.search.daum.net/p/85090832
NAVER,프레시지 삼시세끼,0,DAUM,3,'프레시지 삼시세끼' 캐시슬라이드 초성퀴즈 ㅁㄹㅍㅅㅌ 등장…정답은?,https://cp.news.search.daum.net/p/85090776
NAVER,프레시지 삼시세끼,0,DAUM,4,"프레시지, ‘삼시세끼 산촌편’과 콜로보한 밀키트 단 돈 ‘천원’",https://cp.news.search.daum.net/p/85090768
NAVER,프레시지 삼시세끼,0,DAUM,5,"프레시지 '삼시세끼', 명란 파스타+스테이크 ""단돈 천 원?""",https://cp.news.search.daum.net/p/85090756
NAVER,프레시지 삼시세끼,0,DAUM,6,박서준이 뚝딱 만든 '명란파스타' 프레시지 삼시세끼 특가 만나고 1...,https://cp.news.search.daum.net/p/85090607
NAVER,프레시지 삼시세끼,0,DAUM,7,"'프레시지 삼시세끼' 캐시슬라이드, 'ㅁㄹㅍㅅㅌ' 초성퀴즈 출제…...",https://cp.news.search.daum.net/p/85090577
NAVER,프레시지 삼시세끼,0,DAUM,8,프레시지 삼시세끼 도대체 뭐지 '그냥 공짜로 준다고?’…’단돈 천...,https://cp.news.search.daum.net/p/85090515
NAVER,프레시지 삼시세끼,0,DAUM,9,프레시지 삼시세끼 초성퀴즈 및 천원특가 이벤트 화제,https://cp.news.search.daum.net/p/85090416
NAVER,프레시지 삼시세끼,0,DAUM,10,"프레시지, ‘삼시세끼 산촌편’ 밀키트를 천원에 12일 타임 특가 실시",https://cp.news.search.daum.net/p/85091196
NAVER,프레시지 삼시세끼,0,DAUM,11,"프레시지, 12일 '삼시세끼 신촌편 밀키트' 천원 특가 이벤트 진행",http://v.media.daum.net/v/20191012112704715?f=o
NAVER,프레시지 삼시세끼,0,DAUM,12,"프레시지 삼시세끼, 초성퀴즈 정답은? '명란파스타'",https://cp.news.search.daum.net/p/85090832
NAVER,프레시지 삼시세끼,0,DAUM,13,'프레시지 삼시세끼' 캐시슬라이드 초성퀴즈 ㅁㄹㅍㅅㅌ 등장…정답은?,https://cp.news.search.daum.net/p/85090776
NAVER,프레시지 삼시세끼,0,DAUM,14,"프레시지, ‘삼시세끼 산촌편’과 콜로보한 밀키트 단 돈 ‘천원’",https://cp.news.search.daum.net/p/85090768
